ano_mes,des_familia,cod_tipo_material,volume_realizado,volume_previsto,valor_consumo_realizado,erro_absoluto,wmape,pct_acumulado_valor,classe_pareto_valor,forecastability,slope_wmape,tendencia_erro,flag_quick_win,flag_revisao_estrutural,peso_negocio,impacto_ponderado
2025-04-01,DES_D8183E10,ZEMB,67638106.4,52123960.30000003,67492912.49999999,28483978.89999999,42.11232456974873,0.6933120692086467,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.2,34180774.679999985
2024-12-01,DES_82AD34A6,ROH,268985.6,222777.41000000003,85179513.60000001,159118.90999999986,59.15517782364553,0.24057927105952434,A,Intermittent,-0.72309154717062,Melhora,0,1,1.3,206854.5829999998
2025-08-01,DES_D5109625,ZEMB,6171713.3,8993923.799999999,6638214.699999999,2833365.7,45.90890020766195,0.9816115256195167,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,3400038.8400000003
2025-02-01,DES_D8183E10,ZMEA,6421861.8,8219937.799999999,298943.0000000001,4816568.999999999,75.00268847267935,0.9996472922762011,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,4816568.999999999
2025-02-01,DES_D8183E10,ZMEA,6421861.8,8219937.799999999,298943.0000000001,4816568.999999999,75.00268847267935,0.9988180126448829,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,4816568.999999999
2025-02-01,DES_D8183E10,ZMEA,6421861.8,8219937.799999999,298943.0000000001,4816568.999999999,75.00268847267935,0.6558486764312131,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.0,4816568.999999999
2025-07-01,DES_FE1875EF,ZDIP,530.4,537.1,24057.1,6.7000000000000455,1.263197586727007,1,C,Intermittent,8.469440388560182,Piora,0,0,1.1,7.370000000000051
2025-04-01,DES_9657CF6E,ROH,2982961.579999999,2489012.1499999985,90549452.00000001,835483.0899999994,28.008509918521966,0.2608626219070735,A,Smooth,-0.35027631165759315,Melhora,0,0,1.3,1086128.0169999993
2025-04-01,DES_FE1875EF,ZDIP,53,485.3,2403.7,432.3,815.6603773584905,1.0000000000000004,C,Intermittent,8.469440388560182,Piora,0,0,1.1,475.53000000000003
2025-02-01,DES_C0971FAE,ZEMB,266940.8,558270.6,108338.1,345347.2,129.3722053728767,0.9999478264235996,C,Smooth,-9.360578050425811,Melhora,0,0,1.2,414416.64
2024-11-01,DES_E4F636ED,ZEMB,26924908.00000001,33989697.8,30529122.900000006,14603970.799999997,54.239631199482616,0.9333097375497591,B,Smooth,-1.3197469023354547,Melhora,0,0,1.2,17524764.959999997
2025-05-01,DES_D8183E10,ZDIP,33034.149999999994,32494.200000000004,1255591.6999999997,7606.050000000002,23.024809174747958,0.9999873289380676,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,8366.655000000002
2025-05-01,DES_D8183E10,ZDIP,33034.149999999994,32494.200000000004,1255591.6999999997,7606.050000000002,23.024809174747958,0.9980241337725433,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,8366.655000000002
2025-05-01,DES_D8183E10,ZDIP,33034.149999999994,32494.200000000004,1255591.6999999997,7606.050000000002,23.024809174747958,0.677076112055019,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.1,8366.655000000002
2025-04-01,DES_D5109625,ZEMB,5122520,8335608.6,5573686.999999999,3672342.3999999994,71.69015250306488,0.9831959982227416,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,4406810.879999999
2024-12-01,DES_D8183E10,ZMEA,9561484,8020440.3,415434.5,3988385.0999999996,41.713034294676426,0.9997405282105148,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,3988385.0999999996
2024-12-01,DES_D8183E10,ZMEA,9561484,8020440.3,415434.5,3988385.0999999996,41.713034294676426,0.9985671835298642,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.0,3988385.0999999996
2024-12-01,DES_D8183E10,ZMEA,9561484,8020440.3,415434.5,3988385.0999999996,41.713034294676426,0.44017883607141656,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.0,3988385.0999999996
2024-10-01,DES_D5109625,ZEMB,13837096.400000002,6987091.499999999,14830168.4,7101853.7,51.32473963251422,0.9843445921585631,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,8522224.44
2025-01-01,DES_C0971FAE,ZEMB,1041604.4,561966,372666.8,479638.4,46.04803896757733,0.999393046966386,C,Smooth,-9.360578050425811,Melhora,0,0,1.2,575566.08
2025-09-01,DES_030EEC2D,ZEMB,10898307.699999997,8607378.099999998,48648439.99999999,4948781.8,45.40871790580845,0.806948955274643,B,Intermittent,0.1693223087407568,Estável,0,1,1.2,5938538.159999999
2025-01-01,DES_030EEC2D,ZEMB,12883647.6,8929851.3,71119718.59999998,7587893.1,58.895534367146155,0.8069617245010399,B,Intermittent,0.1693223087407568,Estável,0,1,1.2,9105471.719999999
2025-08-01,DES_E4F636ED,ZEMB,39947182.40000002,38987330.89999998,43834552.5,13966337.5,34.96200898514433,0.8438566998982745,B,Smooth,-1.3197469023354547,Melhora,0,0,1.2,16759605
2025-02-01,DES_D5109625,ZEMB,9475008.700000001,5951518.7,11025840.4,3930098.1999999993,41.47857088511168,0.9820405119795456,C,Smooth,-0.7116894393542568,Melhora,0,0,1.2,4716117.839999999
2025-01-01,DES_D8183E10,ZDIP,48331.90000000001,32839.59999999999,1829728.4,31025.300000000007,64.19217949221942,0.999895482664073,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,34127.83000000001
2025-01-01,DES_D8183E10,ZDIP,48331.90000000001,32839.59999999999,1829728.4,31025.300000000007,64.19217949221942,0.9984618313668622,C,Intermittent,-0.8405455138703585,Melhora,0,0,1.1,34127.83000000001
2025-01-01,DES_D8183E10,ZDIP,48331.90000000001,32839.59999999999,1829728.4,31025.300000000007,64.19217949221942,0.6292485732515444,A,Intermittent,-0.8405455138703585,Melhora,0,1,1.1,34127.83000000001
2025-06-01,DES_030EEC2D,ZEMB,9976059.799999997,9141284.500000004,49721281.300000004,5781627.300000001,57.95501847332554,0.9585868076176052,C,Intermittent,0.1693223087407568,Estável,0,0,1.2,6937952.760000001
